user,text,canidate
manny_rosen, @sanofi please tell us how many shares the Criminal Trump Enterprise owns.,trump
osi_abdul," https://t.co/atM98CpqF7  Like, comment, RT #Prayer4TachaNTitans #Prayer4TachaNTitans",trump
Patsyrw, Your AG Barr is as useless &amp; corrupt as you are     Rep. Pramila Jayapal #SheGotItRight,trump
seyedebrahimi_m, Mr. Trump! Wake Up!  Most of the comments below your tweets are nothing but cartoons and ridicule!… https://t.co/ZboyK43K9M,trump
James09254677, After 4 years you think you would have figured out your horrendous spray tan situation,trump
IndependentsDo,  You lie to lie to cover up a lie to cover up the lie you just lied about.,trump
curtiswhitworth, Really? My prices have gone up. That’s a fact.,trump
shayked5777," Don, you are delusion.  Someone needs to invoke the Baker Act and stop you from harming people with your insanity.",trump
CantStandya2018, How much on stocks have you made pushing miracle covid drugs? Cha ching. I am sure you make plenty on stocks of all kinds.,trump
Chris09704800, https://t.co/MsPqMjxUpk,trump
npzh, No president would be able to destroy as you have,trump
Chris09704800, https://t.co/uP4nDEL0mK,trump
CantStandya2018, Most corrupt mother clucker ever to sit in the oval. Makes Watergate look like a garden party,trump
seriouslyfit, A script I turned down was over $100.00,trump
socratesnurse, https://t.co/RqkD9JDrBv,trump
DeniseDunham9," Lies, lies, lies.. https://t.co/pMfA31RMJU",trump
SeeMcMills, Yeah Donald we all know you're the only president in years that's done anything. Shove it where th… https://t.co/IMvVlkjPTz,trump
MadeBees," Except this isnt true. You allowed Americans to get drugs from overseas, not control prices here.… https://t.co/IO2i8vwkGQ",trump
EliseViksaas, The ratio here is truly epic.  And so deserved.,trump
MaryMeliz99, ???????Every one is wrong but you .. cry baby,trump
itsoulformula, I guess Mr. President some people are so filled with hate they can’t see that they’re ahead. They… https://t.co/ZaBiHx08bY,trump
PfleegerLinda, idiot,trump
Onlimoi, https://t.co/yIARD7LDkU,trump
RealCleverStag, Donald Lies... Trump Signs Executive Orders On Drug Prices.. policy experts say they will likely o… https://t.co/zJ272KemnW,trump
PhillipLloydNe1, Repeating yourself again. Sounds like you have Alzheimer's.,trump
DELETETRUMP9, https://t.co/yEjC35jqyL,trump
Calqlus, https://t.co/CRjjBo9HH2,trump
